TITLE,LINK,DATE_SCRAPE,CITY,CEP,NEIGHBORHOOD,CONDO,TAX,AREA,ROOMS_NO,BATH_NO,PARKING_SPOTS,APARTMENT_DETAILS,PRICE,REGION
Apartamento 03 quartos ,https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/apartamento-03-quartos-1215942724,2023-08-05,Belo Horizonte,30662050,Tirol (Barreiro),R$ 350,R$ 120,67m²,3,2,1,"Área de serviço, Armários na cozinha, Armários no quarto",260000,barreiro
Apto ,https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/apto-1199275155,2023-08-05,Belo Horizonte,30620250,Milionários (Barreiro),R$ 250,R$ 0,66m²,3,1,1,"Área de serviço, Armários na cozinha, Armários no quarto",239990,barreiro
"Apartamento à venda - Barreiro, 2 quartos - Belo Horizonte",https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/apartamento-a-venda-barreiro-2-quartos-belo-horizonte-1218342878,2023-08-05,Belo Horizonte,30640150,Barreiro,R$ 300,R$ 2.402,56m²,2,1,1,Área de serviço,310000,barreiro
"Apartamento à Venda - Palmares, 3 Quartos,  85 m2",https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/apartamento-a-venda-palmares-3-quartos-85-m2-1218332140,2023-08-05,Belo Horizonte,31155292,Santa Cruz,R$ 900,R$ 270,85m²,3,2,2,"Churrasqueira, Piscina",620000,barreiro
"Apartamento 02 quartos, 01 vaga à venda no Bairro Araguaia/BH",https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/apartamento-02-quartos-01-vaga-a-venda-no-bairro-araguaia-bh-1218321527,2023-08-05,Belo Horizonte,30620070,Milionários (Barreiro),R$ 290,R$ 400,47m²,2,1,1,"Área de serviço, Mobiliado",209900,barreiro
Apartamento 02 quartos à venda no bairro Solar do Barreiro/BH,https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/apartamento-02-quartos-a-venda-no-bairro-solar-do-barreiro-bh-1218320003,2023-08-05,Belo Horizonte,30628080,Solar do Barreiro (Barreiro),R$ 207,R$ 1,45m²,2,1,1,N/A,130000,barreiro
Apartamento 03 quartos suíte 01 vaga a venda no Bairro Tirol.,https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/apartamento-03-quartos-suite-02-vagas-a-venda-no-bairro-tirol-1218319935,2023-08-05,Belo Horizonte,30662490,Tirol (Barreiro),R$ 230,R$ 1.473,86m²,3,2,1,"Área de serviço, Varanda",530000,barreiro
Apartamento semi novo perto do Minas Casa,https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/apartamento-semi-novo-perto-do-minas-casa-1218316432,2023-08-05,Belo Horizonte,31155170,Santa Cruz,R$ 170,R$ 98,57m²,2,2,1,N/A,359000,barreiro
