link,date,REGION
https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/belo-horizonte-apartamento-padrao-calafate-1223565948,2023-08-18 13:37:00.450883,zona_oeste
https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/cobertura-a-venda-no-bairro-alto-barroca-1223565123,2023-08-18 13:37:00.450883,zona_oeste
https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/apartamento-com-3-dormitorios-a-venda-em-belo-horizonte-1223564934,2023-08-18 13:37:00.450883,zona_oeste
https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/apartamento-3-quartos-a-venda-3-quartos-1-suite-1-vaga-salgado-filho-belo-horizonte-1223564469,2023-08-18 13:37:00.450883,zona_oeste
https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/apartamento-com-3-dormitorios-a-venda-87-m-por-r-954-000-buritis-belo-horizonte-mg-1223564370,2023-08-18 13:37:00.450883,zona_oeste
https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/apartamento-a-venda-no-estrela-d-alva-1223563443,2023-08-18 13:37:00.450883,zona_oeste
https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/apartamento-a-venda-3-quartos-2-vagas-grajau-76-m-belo-horizonte-mg-ap1884-1223562852,2023-08-18 13:37:00.450883,zona_oeste
https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/apartamento-a-venda-no-bairro-cinquentenario-belo-horizonte-mg-1223561350,2023-08-18 13:37:00.450883,zona_oeste
https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/belo-horizonte-apartamento-padrao-gutierrez-1223560007,2023-08-18 13:37:00.450883,zona_oeste
https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/venda-apartamento-4-quartos-buritis-belo-horizonte-1223559593,2023-08-18 13:37:00.450883,zona_oeste
https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/venda-apartamento-3-quartos-gutierrez-belo-horizonte-1223559477,2023-08-18 13:37:00.450883,zona_oeste
