TITLE,LINK,DATE_SCRAPE,CITY,CEP,NEIGHBORHOOD,CONDO,TAX,AREA,ROOMS_NO,BATH_NO,PARKING_SPOTS,APARTMENT_DETAILS,PRICE,REGION
Apartamento com 3 dormitórios à venda em Belo Horizonte,https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/apartamento-com-3-dormitorios-a-venda-em-belo-horizonte-1179513822,2023-08-06,Belo Horizonte,31170590,União,R$ 0,R$ 0,70m²,3,1,2,Área de serviço,680000,zona_nordeste
Cobertura com 3 dormitórios à venda em Belo Horizonte,https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/cobertura-com-3-dormitorios-a-venda-em-belo-horizonte-1179513695,2023-08-06,Belo Horizonte,31140220,Nova Floresta,R$ 30.000,R$ 10.000,77m²,3,2,2,N/A,917300,zona_nordeste
Apartamento com 3 dormitórios à venda em Belo Horizonte,https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/apartamento-com-3-dormitorios-a-venda-em-belo-horizonte-1179513586,2023-08-06,Belo Horizonte,31140410,Silveira,R$ 450,R$ 151,65m²,3,1,0,Área de serviço,290000,zona_nordeste
Apartamento com 3 dormitórios à venda em Belo Horizonte,https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/apartamento-com-3-dormitorios-a-venda-em-belo-horizonte-1179513548,2023-08-06,Belo Horizonte,31160530,Palmares,R$ 340,R$ 232,76m²,3,2,2,N/A,795000,zona_nordeste
Área Privativa / Garden com 3 dormitórios à venda em Belo Horizonte,https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/area-privativa-garden-com-3-dormitorios-a-venda-em-belo-horizonte-1179513497,2023-08-06,Belo Horizonte,31170150,Cidade Nova,R$ 1,R$ 1,168m²,3,2,3,N/A,950000,zona_nordeste
Cobertura com 5 dormitórios à venda em Belo Horizonte,https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/cobertura-com-5-dormitorios-a-venda-em-belo-horizonte-1179513467,2023-08-06,Belo Horizonte,31155700,Palmares,R$ 250,R$ 320,165m²,5 ou mais,3,2,Ar condicionado,899900,zona_nordeste
Apartamento com 3 dormitórios à venda em Belo Horizonte,https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/apartamento-com-3-dormitorios-a-venda-em-belo-horizonte-1179513135,2023-08-06,Belo Horizonte,31140450,Silveira,R$ 500,R$ 1.660,138m²,3,2,1,N/A,430000,zona_nordeste
Apartamento com 3 dormitórios à venda em Belo Horizonte,https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/apartamento-com-3-dormitorios-a-venda-em-belo-horizonte-1179512969,2023-08-06,Belo Horizonte,31170180,Cidade Nova,R$ 1,R$ 1,90m²,3,2,1,"Área de serviço, Armários na cozinha",480000,zona_nordeste
Cobertura com 4 dormitórios à venda em Belo Horizonte,https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/cobertura-com-4-dormitorios-a-venda-em-belo-horizonte-1179511439,2023-08-06,Belo Horizonte,31160490,Palmares,R$ 310,R$ 187,143m²,4,3,2,"Ar condicionado, Armários na cozinha, Churrasqueira, Varanda",800000,zona_nordeste
Apartamento com 2 dormitórios à venda em Belo Horizonte,https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/apartamento-com-2-dormitorios-a-venda-em-belo-horizonte-1179511440,2023-08-06,Belo Horizonte,31170550,União,R$ 0,R$ 0,61m²,2,2,2,N/A,417000,zona_nordeste
