titulo,link,date,REGION
BELO HORIZONTE - Apartamento Padrão - Maria Helena,https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/belo-horizonte-apartamento-padrao-parque-leblon-998426843,2023-08-04 14:32:30.044886,venda_nova
"Apartamento à venda, 3 quartos, 2 vagas, São João Batista - Belo Horizonte/MG",https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/cobertura-a-venda-3-quartos-sendo-1-suite-2-vagas-sob-pilotis-lavabo-no-terraco-sa-1124966248,2023-08-04 14:32:30.044886,venda_nova
"Cobertura com 2 Quartos à Venda, 90m² por R$ 350.000",https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/cobertura-com-2-quartos-a-venda-90m-por-r-350-000-993920728,2023-08-04 14:32:35.032050,venda_nova
"Apartamento à venda, 2 quartos, 1 suíte, 1 vaga, São João Batista - Belo Horizonte/MG",https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/apartamento-com-area-privativa-em-u-a-venda-2-quartos-1-vaga-bairro-rio-branco-v-1126023327,2023-08-04 14:32:35.032050,venda_nova
Venda de Apartamento  com 02 quartos em Candelária,https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/apartamento-a-venda-2-quartos-1-suite-1-vaga-sao-joao-batista-belo-horizonte-mg-995108800,2023-08-04 14:32:35.032050,venda_nova
"Apartamento para Venda em Belo Horizonte, São João Batista (Venda Nova), 3 dormitórios, 1 ",https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/apartamento-3-quartos-e-1-vaga-a-venda-57-m-por-r-179-000-serra-verde-venda-nova-1067327081,2023-08-04 14:32:35.032050,venda_nova
"Cobertura com 02 Quartos, Bairro São João Batista, BH/MG!",https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/venda-de-apartamento-com-02-quartos-em-candelaria-1162655329,2023-08-04 14:32:35.032050,venda_nova
"Apartamento à venda, 3 quartos, 1 suíte, Candelária - Belo Horizonte/MG",https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/belo-horizonte-apartamento-padrao-jardim-leblon-992973507,2023-08-04 14:32:35.032050,venda_nova
"Cobertura à venda, 4 quartos, 1 suíte, 2 vagas, Rio Branco - Belo Horizonte/MG",https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/apartamento-para-venda-em-belo-horizonte-sao-joao-batista-venda-nova-3-dormitorios-1-995327974,2023-08-04 14:32:35.032050,venda_nova
Belo Horizonte - Apartamento Padrão - São João Batista (Venda Nova),https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/belo-horizonte-apartamento-padrao-leticia-1128715946,2023-08-04 14:32:35.032050,venda_nova
"Cobertura com excelente acabamento, 3 Quartos e 2 banheiros à Venda, 140 m² por R$ 580.000",https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/cobertura-com-02-quartos-bairro-sao-joao-batista-bh-mg-1141652372,2023-08-04 14:32:35.032050,venda_nova
Linda cobertura com 2 quartos e espaço gourmet.,https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/venda-apartamento-maria-helena-belo-horizonte-mg-1008370876,2023-08-04 14:32:35.032050,venda_nova
BELO HORIZONTE - Apartamento Padrão - Piratininga (Venda Nova),https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/apartamento-a-venda-3-quartos-1-suite-candelaria-belo-horizonte-mg-1075375986,2023-08-04 14:32:35.032050,venda_nova
Venda Residential / Apartment Belo Horizonte MG,https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/apartamento-com-2-quartos-sendo-01-com-suite-a-venda-62-m-por-r-315-000-jardim-leblon-1114109238,2023-08-04 14:32:35.032050,venda_nova
"Cobertura, a venda, nova, 2 quartos, 2 salas, terraço, churrasqueira, 1 vaga demarcada no ",https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/cobertura-a-venda-4-quartos-1-suite-2-vagas-rio-branco-belo-horizonte-mg-1066359190,2023-08-04 14:32:35.032050,venda_nova
"Cobertura com 2 Quartos 2 Suítes 2 vagas a venda,92m2 por R$ 490.000",https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/apartamento-com-2-quartos-e-2-banheiros-a-venda-na-regiao-da-pampulha-60-m-por-r-220-00-1049752066,2023-08-04 14:32:35.032050,venda_nova
Venda Residential / Apartment Belo Horizonte MG,https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/belo-horizonte-apartamento-padrao-sao-joao-batista-venda-nova-1128803307,2023-08-04 14:32:35.032050,venda_nova
Apartamento para venda possui 50 metros quadrados com 2 quartos em Rio Branco - Belo Horiz,https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/linda-cobertura-a-venda-2-quartos-vista-panoramica-vaga-demarcada-no-piratininga-987435113,2023-08-04 14:32:35.032050,venda_nova
"Vendo Financio APARTAMENTO COM ÁREA PRIVATIVA 2 quartos, sala, cozinha no Bairro MANTIQUEI",https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/cobertura-com-excelente-acabamento-3-quartos-e-2-banheiros-a-venda-140-m-por-r-580-000-1093182673,2023-08-04 14:32:35.032050,venda_nova
"Cobertura para Venda em Belo Horizonte, Rio Branco, 2 dormitórios, 1 banheiro, 2 vagas",https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/apartamento-com-2-quartos-1-vaga-a-venda-75m2-por-r-270-000-1053235676,2023-08-04 14:32:35.032050,venda_nova
BELO HORIZONTE - Apartamento Padrão - Jardim Leblon,https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/linda-cobertura-com-2-quartos-e-espaco-gourmet-1048567455,2023-08-04 14:32:35.032050,venda_nova
Cobertura Nova - BH - B. Piratininga  - 2 qts - 1 Vaga - 2 Banhos.,https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/apartamento-com-2-dormitorios-a-venda-45-m-por-r-190-000-00-candelaria-belo-horizon-992157357,2023-08-04 14:32:35.032050,venda_nova
lindo apartamento no melhor ponto de Venda Nova.,https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/belo-horizonte-apartamento-padrao-piratininga-venda-nova-1078475095,2023-08-04 14:32:35.032050,venda_nova
