TITLE,LINK,DATE_SCRAPE,CITY,CEP,NEIGHBORHOOD,CONDO,TAX,AREA,ROOMS_NO,BATH_NO,PARKING_SPOTS,APARTMENT_DETAILS,PRICE,REGION
Belo Horizonte - Apartamento Padrão - Parque Leblon,https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/belo-horizonte-apartamento-padrao-parque-leblon-998426843,2023-08-05,Belo Horizonte,31540470,Jardim Leblon,R$ 200,R$ 0,55m²,2,2,1,N/A,199900,venda_nova
Cobertura à Venda - 3 Quartos sendo 1 Suíte - 2 Vagas sob Pilotis - Lavabo no Terraço - Sã,https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/cobertura-a-venda-3-quartos-sendo-1-suite-2-vagas-sob-pilotis-lavabo-no-terraco-sa-1124966248,2023-08-05,Belo Horizonte,31520190,São João Batista (Venda Nova),R$ 180,R$ 90,130m²,3,3,2,Área de serviço,550000,venda_nova
"Cobertura com 2 Quartos à Venda, 90m² por R$ 350.000",https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/cobertura-com-2-quartos-a-venda-90m-por-r-350-000-993920728,2023-08-05,Belo Horizonte,31573080,Piratininga (Venda Nova),R$ 0,R$ 0,90m²,2,2,1,N/A,350000,venda_nova
"Apartamento com Área Privativa em ""U"" à Venda - 2 Quartos - 1 Vaga - Bairro Rio Branco - V",https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/apartamento-com-area-privativa-em-u-a-venda-2-quartos-1-vaga-bairro-rio-branco-v-1126023327,2023-08-05,Belo Horizonte,31535350,Rio Branco,R$ 100,R$ 80,100m²,2,1,1,Área de serviço,350000,venda_nova
"Apartamento à venda, 2 quartos, 1 suíte, 1 vaga, São João Batista - Belo Horizonte/MG",https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/apartamento-a-venda-2-quartos-1-suite-1-vaga-sao-joao-batista-belo-horizonte-mg-995108800,2023-08-05,Belo Horizonte,31520070,São João Batista (Venda Nova),R$ 0,R$ 0,65m²,2,2,1,N/A,250000,venda_nova
"Apartamento 3 quartos e 1 vaga à venda, 57 m² por R$ 179.000 - Serra Verde (Venda Nova) - ",https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/apartamento-3-quartos-e-1-vaga-a-venda-57-m-por-r-179-000-serra-verde-venda-nova-1067327081,2023-08-05,Belo Horizonte,31630170,Serra Verde (Venda Nova),R$ 30,R$ 1,57m²,3,1,1,Área de serviço,179000,venda_nova
Venda de Apartamento  com 02 quartos em Candelária,https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/venda-de-apartamento-com-02-quartos-em-candelaria-1162655329,2023-08-05,Belo Horizonte,31535522,Candelária,R$ 390,R$ 87,53m²,2,1,1,Piscina,290000,venda_nova
BELO HORIZONTE - Apartamento Padrão - Jardim Leblon,https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/belo-horizonte-apartamento-padrao-jardim-leblon-992973507,2023-08-05,Belo Horizonte,31540250,Jardim Leblon,R$ 0,R$ 0,49m²,2,1,1,Área de serviço,130000,venda_nova
"Apartamento para Venda em Belo Horizonte, São João Batista (Venda Nova), 3 dormitórios, 1 ",https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/apartamento-para-venda-em-belo-horizonte-sao-joao-batista-venda-nova-3-dormitorios-1-995327974,2023-08-05,Belo Horizonte,31515240,São João Batista (Venda Nova),R$ 1,R$ 1,70m²,3,2,2,Academia,350000,venda_nova
BELO HORIZONTE - Apartamento Padrão - Letícia,https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/belo-horizonte-apartamento-padrao-leticia-1128715946,2023-08-05,Belo Horizonte,31570160,Letícia,R$ 1,R$ 1,50m²,2,1,1,N/A,310000,venda_nova
"Cobertura com 02 Quartos, Bairro São João Batista, BH/MG!",https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/cobertura-com-02-quartos-bairro-sao-joao-batista-bh-mg-1141652372,2023-08-05,Belo Horizonte,31520100,São João Batista (Venda Nova),R$ 240,R$ 100,90m²,2,2,1,Área de serviço,329000,venda_nova
Venda - APARTAMENTO - MARIA HELENA BELO HORIZONTE MG,https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/venda-apartamento-maria-helena-belo-horizonte-mg-1008370876,2023-08-05,Belo Horizonte,31680050,Maria Helena,R$ 0,R$ 0,45m²,2,1,1,N/A,179000,venda_nova
"Apartamento à venda, 3 quartos, 1 suíte, Candelária - Belo Horizonte/MG",https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/apartamento-a-venda-3-quartos-1-suite-candelaria-belo-horizonte-mg-1075375986,2023-08-05,Belo Horizonte,31535630,Candelária,R$ 0,R$ 0,63m²,3,1,0,Área de serviço,470000,venda_nova
"Apartamento com 2 quartos sendo 01 com suite à venda, 62 m² por R$ 315.000 - Jardim Leblon",https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/apartamento-com-2-quartos-sendo-01-com-suite-a-venda-62-m-por-r-315-000-jardim-leblon-1114109238,2023-08-05,Belo Horizonte,31540240,Jardim Leblon,R$ 100,R$ 150,62m²,2,1,1,Área de serviço,315000,venda_nova
