titulo,link,date,REGION
"Cobertura para Venda em Belo Horizonte, Serrano, 3 dormitórios, 1 suíte, 2 banheiros, 2 va",https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/belo-horizonte-apartamento-padrao-joao-pinheiro-1177781334,2023-08-04 15:20:18.558475,zona_noroeste
Venda Residential / Penthouse Belo Horizonte MG,https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/apartamento-com-3-dormitorios-a-venda-85-m-por-r-550-000-00-alto-caicaras-belo-hori-1177773837,2023-08-04 15:20:18.558475,zona_noroeste
BELO HORIZONTE - Apartamento Padrão - Serrano,https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/excelente-apartamento-quatro-quartos-b-caicara-1177763425,2023-08-04 15:20:18.558475,zona_noroeste
COBERTURA 04 QUARTOS NO PADRE EUSTÁQUIO!,https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/maravilhosa-privativa-1177677191,2023-08-04 15:20:18.558475,zona_noroeste
Lançamento Caiçara Apto 3 quartos c/ suite 2 vagas,https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/apartamento-a-venda-2-quartos-1-suite-1-vaga-joao-pinheiro-belo-horizonte-mg-1177672383,2023-08-04 15:20:18.558475,zona_noroeste
Venda Apartamento 3 quartos Padre Eustáquio Belo Horizonte,https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/apartamento-com-2-quartos-a-venda-60-m-por-r-225-000-alto-caicaras-belo-horizonte-m-1177669331,2023-08-04 15:20:18.558475,zona_noroeste
Apartamento a venda 3 quartos no Padre Eustáquio!,https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/area-privativa-a-venda-3-quartos-1-suite-2-vagas-serrano-belo-horizonte-mg-1177620405,2023-08-04 15:20:18.558475,zona_noroeste
"Apartamento à Venda - Padre Eustáquio, 2 Quartos,  52 m2",https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/venda-apartamento-3-quartos-gloria-belo-horizonte-1177611794,2023-08-04 15:20:18.558475,zona_noroeste
Venda apartamento 1 quarto no Caiçara,https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/apartamento-com-3-dormitorios-a-venda-77-m-por-r-265-000-00-nova-cachoeirinha-belo-1177608426,2023-08-04 15:20:18.558475,zona_noroeste
Venha conhecer nosso incrível apartamento de 3 quartos com suíte no bairro Caiçara!,https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/apartamento-para-venda-possui-67-metros-quadrados-com-2-quartos-1177573541,2023-08-04 15:20:18.558475,zona_noroeste
Apartamento 2 Quartos á venda no bairro Caiçara!,https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/venda-apartamento-3-quartos-caicaras-belo-horizonte-1177546167,2023-08-04 15:20:18.558475,zona_noroeste
Apartamento Padrão para Venda em João Pinheiro Belo Horizonte-MG - 920,https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/aprecie-o-video-deste-apto-perto-do-centro-de-bh-1177484903,2023-08-04 15:20:18.558475,zona_noroeste
"Apartamento à Venda - Padre Eustáquio, 2 Quartos,  54 m2",https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/cobertura-para-venda-em-belo-horizonte-serrano-3-dormitorios-1-suite-2-banheiros-2-va-1177481291,2023-08-04 15:20:18.558475,zona_noroeste
Apartamento Cobertura Duplex para Venda em João Pinheiro Belo Horizonte-MG - 921,https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/apartamento-cobertura-duplex-para-venda-em-joao-pinheiro-belo-horizonte-mg-921-1175971178,2023-08-04 15:20:23.545944,zona_noroeste
"Apartamento à Venda - Padre Eustáquio, 2 Quartos,  54 m2",https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/apartamento-a-venda-padre-eustaquio-2-quartos-54-m2-1175698602,2023-08-04 15:20:23.545944,zona_noroeste
BELO HORIZONTE - Apartamento Padrão - Serrano,https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/apartamento-a-venda-padre-eustaquio-2-quartos-54-m2-1175698181,2023-08-04 15:20:23.545944,zona_noroeste
"Área privativa à venda, 3 quartos, 1 suíte, 2 vagas, Caiçara - Belo Horizonte/MG",https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/cobertura-a-venda-3-quartos-1-suite-2-vagas-caicara-belo-horizonte-mg-1175667874,2023-08-04 15:20:23.545944,zona_noroeste
Venda Apartamento 3 quartos Padre Eustáquio Belo Horizonte,https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/belo-horizonte-apartamento-padrao-serrano-1175660518,2023-08-04 15:20:23.545944,zona_noroeste
BELO HORIZONTE - Apartamento Padrão - Alto Caiçaras,https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/apartamento-a-venda-3-quartos-1-suite-2-vagas-caicara-belo-horizonte-mg-1175656215,2023-08-04 15:20:23.545944,zona_noroeste
Belo Horizonte - Apartamento Padrão - Coqueiros,https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/area-privativa-a-venda-3-quartos-1-suite-2-vagas-caicara-belo-horizonte-mg-1175656197,2023-08-04 15:20:23.545944,zona_noroeste
"Apartamento com 3 dormitórios à venda, 68 m² por R$ 639.920,00 - Caiçaras - Belo Horizonte",https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/venda-apartamento-3-quartos-nova-cachoeirinha-belo-horizonte-1175653522,2023-08-04 15:20:23.545944,zona_noroeste
BELO HORIZONTE - Apartamento Padrão - Serrano,https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/venda-apartamento-3-quartos-padre-eustaquio-belo-horizonte-1175653424,2023-08-04 15:20:23.545944,zona_noroeste
BELO HORIZONTE - Apartamento Padrão - Coqueiros,https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/apartamento-a-venda-gloria-2-quartos-113-m2-1175627731,2023-08-04 15:20:23.545944,zona_noroeste
BELO HORIZONTE - Apartamento Padrão - Padre Eustáquio,https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/belo-horizonte-apartamento-padrao-alto-caicaras-1175612069,2023-08-04 15:20:23.545944,zona_noroeste
BELO HORIZONTE - Apartamento Padrão - Glória,https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/apartamento-a-venda-caicara-adelaide-3-quartos-140-m2-1175586807,2023-08-04 15:20:23.545944,zona_noroeste
BELO HORIZONTE - Apartamento Padrão - Padre Eustáquio,https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/belo-horizonte-apartamento-padrao-coqueiros-1175585156,2023-08-04 15:20:23.545944,zona_noroeste
BELO HORIZONTE - Apartamento Padrão - Serrano,https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/apartamento-a-venda-no-bairro-caicaras-1175554833,2023-08-04 15:20:23.545944,zona_noroeste
BELO HORIZONTE - Apartamento Padrão - Serrano,https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/apartamento-com-3-dormitorios-a-venda-68-m-por-r-639-920-00-caicaras-belo-horizonte-1175530678,2023-08-04 15:20:23.545944,zona_noroeste
"Cobertura com 3 dormitórios à venda, 141 m² por R$ 990.000,00 - Caiçaras - Belo Horizonte/",https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/cobertura-otima-no-bairro-caicaras-1175524070,2023-08-04 15:20:23.545944,zona_noroeste
"Cobertura com 3 dormitórios à venda, 150 m² por R$ 790.000,00 - Caiçaras - Belo Horizonte/",https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/belo-horizonte-apartamento-padrao-serrano-1175496366,2023-08-04 15:20:23.545944,zona_noroeste
"Cobertura com 3 dormitórios à venda, 145 m² por R$ 1.090.000,00 - Caiçaras - Belo Horizont",https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/belo-horizonte-apartamento-padrao-padre-eustaquio-1175496284,2023-08-04 15:20:23.545944,zona_noroeste
"Área Privativa à venda, 2 quartos, 1 vaga, CALIFORNIA - Belo Horizonte/MG",https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/belo-horizonte-apartamento-padrao-coqueiros-1175496030,2023-08-04 15:20:23.545944,zona_noroeste
Venda Residential / Apartment Belo Horizonte MG,https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/belo-horizonte-apartamento-padrao-coqueiros-1175496032,2023-08-04 15:20:23.545944,zona_noroeste
Venda Residential / Apartment Belo Horizonte MG,https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/belo-horizonte-apartamento-padrao-padre-eustaquio-1175496018,2023-08-04 15:20:23.545944,zona_noroeste
