TITLE,LINK,DATE_SCRAPE,CITY,CEP,NEIGHBORHOOD,CONDO,TAX,AREA,ROOMS_NO,BATH_NO,PARKING_SPOTS,APARTMENT_DETAILS,PRICE,REGION
Venda Cobertura Caiçara-Adelaide Belo Horizonte,https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/venda-cobertura-caicara-adelaide-belo-horizonte-1178495867,2023-08-05,Belo Horizonte,30750170,Caiçara-Adelaide,R$ 400,R$ 164,137m²,3,3,2,Varanda,699900,zona_noroeste
Venda Apartamento 3 quartos Caiçaras Belo Horizonte,https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/venda-apartamento-3-quartos-caicaras-belo-horizonte-1178480783,2023-08-05,Belo Horizonte,30770400,Caiçara-Adelaide,R$ 350,R$ 580,135m²,3,3,3,"Ar condicionado, Varanda",1650000,zona_noroeste
Belo Horizonte - Apartamento Padrão - Conjunto Califórnia,https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/belo-horizonte-apartamento-padrao-conjunto-california-1178479452,2023-08-05,Belo Horizonte,30850700,Conjunto Califórnia,R$ 250,R$ 0,66m²,2,1,1,Armários na cozinha,195000,zona_noroeste
Linda cobertura bairro Caiçara com elevador,https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/linda-cobertura-bairro-caicara-com-elevador-1178451388,2023-08-05,Belo Horizonte,30750170,Caiçara-Adelaide,R$ 420,R$ 164,138m²,3,3,2,"Área de serviço, Churrasqueira, Varanda",745000,zona_noroeste
Cobertura para venda tem 230 metros quadrados com 4 quartos em Padre Eustáquio - Belo Hori,https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/cobertura-para-venda-tem-230-metros-quadrados-com-4-quartos-em-padre-eustaquio-belo-hori-1178447176,2023-08-05,Belo Horizonte,30720402,Padre Eustáquio,R$ 550,R$ 4.576,230m²,4,4,4,Piscina,1390000,zona_noroeste
Venda Residential / Apartment Belo Horizonte MG,https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/venda-residential-apartment-belo-horizonte-mg-1178427511,2023-08-05,Belo Horizonte,30520150,Camargos,R$ 218,R$ 58,54m²,2,1,1,N/A,165000,zona_noroeste
"Apartamento com 4 dormitórios à venda, 148 m² por R$ 650.000,00 - Caiçaras - Belo Horizont",https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/apartamento-com-4-dormitorios-a-venda-148-m-por-r-650-000-00-caicaras-belo-horizont-1178420974,2023-08-05,Belo Horizonte,30770160,Caiçaras,R$ 300,R$ 258,148m²,4,3,2,Área de serviço,650000,zona_noroeste
"Apartamento à Venda - Camargos, 2 Quartos,  49 m2",https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/apartamento-a-venda-camargos-2-quartos-49-m2-1178416997,2023-08-05,Belo Horizonte,30520420,Camargos,R$ 350,R$ 75,49m²,2,1,1,N/A,280000,zona_noroeste
BELO HORIZONTE - Padrão - Padre Eustáquio,https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/belo-horizonte-padrao-padre-eustaquio-1178355886,2023-08-05,Belo Horizonte,30730140,Padre Eustáquio,R$ 1,R$ 1,362m²,4,3,4,Área de serviço,1190000,zona_noroeste
BELO HORIZONTE - Cobertura - Caiçara,https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/belo-horizonte-cobertura-caicara-1178355495,2023-08-05,Belo Horizonte,30720340,Padre Eustáquio,R$ 1,R$ 1,175m²,4,3,3,"Área de serviço, Churrasqueira, Varanda",1240000,zona_noroeste
Apartamento para venda camargos,https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/apartamento-para-venda-camargos-1178312807,2023-08-05,Belo Horizonte,30525450,Camargos,R$ 460,R$ 105,72m²,3,2,2,N/A,395000,zona_noroeste
Cazanova Imóveis vende apartamento Três quartos.,https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/cazanova-imoveis-vende-apartamento-tres-quartos-1178261008,2023-08-05,Belo Horizonte,30720476,Monsenhor Messias,R$ 250,R$ 1.044,57m²,3,1,1,Área de serviço,240000,zona_noroeste
Cazanova Imóveis vende/aluga  Excelente apartamento no Caiçara!,https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/cazanova-imoveis-vende-aluga-excelente-apartamento-no-caicara-1177938170,2023-08-05,Belo Horizonte,30775520,Caiçaras,R$ 950,R$ 3.900,145m²,4,2,2,"Academia, Área de serviço, Armários na cozinha, Armários no quarto, Churrasqueira, Piscina, Varanda",1350000,zona_noroeste
"Maravilhosa Área Privativa com 4 Quartos, Suíte, Elevador e 2 Vagas no Bairro Serrano",https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/maravilhosa-area-privativa-com-4-quartos-suite-elevador-e-2-vagas-no-bairro-serrano-1177935083,2023-08-05,Belo Horizonte,30882650,Serrano,R$ 0,R$ 0,106m²,4,3,2,Área de serviço,1150000,zona_noroeste
"Maravilhosa Cobertura com 4 Quartos, Suíte, Elevador, 4 Vagas e Piscina no Bairro Serrano.",https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/maravilhosa-cobertura-com-4-quartos-suite-elevador-4-vagas-e-piscina-no-bairro-serrano-1177933479,2023-08-05,Belo Horizonte,30882650,Serrano,R$ 0,R$ 0,228m²,4,3,4,"Ar condicionado, Churrasqueira, Piscina",1780000,zona_noroeste
"Maravilhoso Apartamento Tipo com 4 Quartos, Suíte, Elevador e 2 Vagas no Bairro Serrano.",https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/maravilhoso-apartamento-tipo-com-4-quartos-suite-elevador-e-2-vagas-no-bairro-serrano-1177930157,2023-08-05,Belo Horizonte,30882650,Serrano,R$ 0,R$ 0,106m²,4,3,2,Área de serviço,860000,zona_noroeste
APARTAMENTO 04 QUARTOS NO BAIRRO CAIÇARA!,https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/apartamento-04-quartos-no-bairro-caicara-1177928485,2023-08-05,Belo Horizonte,30770400,Caiçara-Adelaide,R$ 350,R$ 0,152m²,4,2,3,"Área de serviço, Armários na cozinha, Armários no quarto",1650000,zona_noroeste
"Maravilhoso Apartamento Tipo com 4 Quartos, Suíte, Elevador e 2 Vagas no Bairro Serrano.",https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/maravilhoso-apartamento-tipo-com-4-quartos-suite-elevador-e-2-vagas-no-bairro-serrano-1177927038,2023-08-05,Belo Horizonte,30882650,Serrano,R$ 0,R$ 0,106m²,4,3,2,Área de serviço,780000,zona_noroeste
ÁREA PRIVATIVA 04 QUARTOS BAIRRO CAIÇARA!,https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/area-privativa-04-quartos-bairro-caicara-1177911764,2023-08-05,Belo Horizonte,30770400,Caiçara-Adelaide,R$ 350,R$ 0,152m²,4,2,4,"Área de serviço, Armários no quarto",1800000,zona_noroeste
COBERTURA 02 QUARTOS NO BAIRRO CAIÇARA!,https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/cobertura-02-quartos-no-bairro-caicara-1177911151,2023-08-05,Belo Horizonte,30750160,Caiçara-Adelaide,R$ 350,R$ 0,148m²,2,3,2,"Área de serviço, Armários no quarto",629000,zona_noroeste
Venda Apartamento 2 quartos Caiçara-Adelaide Belo Horizonte,https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/venda-apartamento-2-quartos-caicara-adelaide-belo-horizonte-1177874874,2023-08-05,Belo Horizonte,30720540,Caiçara-Adelaide,R$ 250,R$ 36,53m²,2,1,1,N/A,230000,zona_noroeste
"Apartamento PNE com 01 quarto, prédio individual no bairro Altos dos Pinheiros em Belo Hor",https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/apartamento-pne-com-01-quarto-predio-individual-no-bairro-altos-dos-pinheiros-em-belo-hor-1177847753,2023-08-05,Belo Horizonte,30530500,Alto dos Pinheiros,R$ 228,R$ 0,50m²,1,1,1,Área de serviço,215000,zona_noroeste
Apartamento pronto para morar com facilidades de pagamento da entrada,https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/apartamento-pronto-para-morar-com-facilidades-de-pagamento-da-entrada-1177846131,2023-08-05,Belo Horizonte,30880510,Pindorama,R$ 292,R$ 0,46m²,2,1,1,Churrasqueira,217900,zona_noroeste
"Apartamento com 3 dormitórios à venda, 60 m² por R$ 250.000,00 - Caiçaras - Belo Horizonte",https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/apartamento-com-3-dormitorios-a-venda-60-m-por-r-250-000-00-caicaras-belo-horizonte-1177789114,2023-08-05,Belo Horizonte,30720360,Padre Eustáquio,R$ 200,R$ 36,60m²,3,1,1,Área de serviço,250000,zona_noroeste
Belo Horizonte - Apartamento Padrão - João Pinheiro,https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/belo-horizonte-apartamento-padrao-joao-pinheiro-1177781334,2023-08-05,Belo Horizonte,30530170,João Pinheiro,R$ 450,R$ 104,70m²,2,1,1,Armários na cozinha,300000,zona_noroeste
"Apartamento com 3 dormitórios à venda, 85 m² por R$ 550.000,00 - Alto Caiçaras - Belo Hori",https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/apartamento-com-3-dormitorios-a-venda-85-m-por-r-550-000-00-alto-caicaras-belo-hori-1177773837,2023-08-05,Belo Horizonte,30770584,Caiçaras,R$ 400,R$ 177,85m²,3,3,2,Área de serviço,550000,zona_noroeste
Excelente apartamento Quatro quartos B. Caiçara,https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/excelente-apartamento-quatro-quartos-b-caicara-1177763425,2023-08-05,Belo Horizonte,30720580,Caiçara-Adelaide,R$ 500.000,R$ 1.600,120m²,4,3,2,"Área de serviço, Armários na cozinha",650000,zona_noroeste
MARAVILHOSA PRIVATIVA,https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/maravilhosa-privativa-1177677191,2023-08-05,Belo Horizonte,30750350,Alto Caiçaras,R$ 0,R$ 0,45m²,2,1,1,N/A,355000,zona_noroeste
"Apartamento à venda, 2 quartos, 1 suíte, 1 vaga, João Pinheiro - Belo Horizonte/MG",https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/apartamento-a-venda-2-quartos-1-suite-1-vaga-joao-pinheiro-belo-horizonte-mg-1177672383,2023-08-05,Belo Horizonte,30530290,João Pinheiro,R$ 1,R$ 1,56m²,2,2,1,"Academia, Churrasqueira, Piscina, Varanda",349626,zona_noroeste
"Apartamento com 2 quartos à venda, 60 m² por R$ 225.000 - Alto Caiçaras - Belo Horizonte/M",https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/apartamento-com-2-quartos-a-venda-60-m-por-r-225-000-alto-caicaras-belo-horizonte-m-1177669331,2023-08-05,Belo Horizonte,30720340,Padre Eustáquio,R$ 1,R$ 1,60m²,2,1,1,Área de serviço,225000,zona_noroeste
"Área privativa à venda, 3 quartos, 1 suíte, 2 vagas, Serrano - Belo Horizonte/MG",https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/area-privativa-a-venda-3-quartos-1-suite-2-vagas-serrano-belo-horizonte-mg-1177620405,2023-08-05,Belo Horizonte,30882770,Serrano,R$ 150,R$ 154,115m²,3,2,2,"Área de serviço, Churrasqueira, Varanda",650000,zona_noroeste
Venda Apartamento 3 quartos Glória Belo Horizonte,https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/venda-apartamento-3-quartos-gloria-belo-horizonte-1177611794,2023-08-05,Belo Horizonte,30870100,Glória,R$ 170,R$ 929,65m²,3,1,1,N/A,220000,zona_noroeste
"Apartamento com 3 dormitórios à venda, 77 m² por R$ 265.000,00 - Nova Cachoeirinha - Belo ",https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/apartamento-com-3-dormitorios-a-venda-77-m-por-r-265-000-00-nova-cachoeirinha-belo-1177608426,2023-08-05,Belo Horizonte,31250620,Nova Cachoeirinha,R$ 195,R$ 396,77m²,3,1,1,Área de serviço,265000,zona_noroeste
Apartamento para venda possui 67 metros quadrados com 2 quartos,https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/apartamento-para-venda-possui-67-metros-quadrados-com-2-quartos-1177573541,2023-08-05,Belo Horizonte,30850610,Conjunto Califórnia,R$ 0,R$ 0,67m²,2,1,2,N/A,175000,zona_noroeste
Venda Apartamento 3 quartos Caiçaras Belo Horizonte,https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/venda-apartamento-3-quartos-caicaras-belo-horizonte-1177546167,2023-08-05,Belo Horizonte,30770350,Caiçara-Adelaide,R$ 800,R$ 399,110m²,3,2,3,"Churrasqueira, Piscina, Varanda",1150000,zona_noroeste
Aprecie o video deste apto perto do centro de BH,https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/aprecie-o-video-deste-apto-perto-do-centro-de-bh-1177484903,2023-08-05,Belo Horizonte,31110430,São Cristóvão,R$ 250,R$ 0,70m²,2,2,2,N/A,269000,zona_noroeste
"Cobertura para Venda em Belo Horizonte, Serrano, 3 dormitórios, 1 suíte, 2 banheiros, 2 va",https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/cobertura-para-venda-em-belo-horizonte-serrano-3-dormitorios-1-suite-2-banheiros-2-va-1177481291,2023-08-05,Belo Horizonte,30882770,Serrano,R$ 200,R$ 170,161m²,3,2,2,Churrasqueira,500000,zona_noroeste
Apartamento Cobertura Duplex para Venda em João Pinheiro Belo Horizonte-MG - 921,https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/apartamento-cobertura-duplex-para-venda-em-joao-pinheiro-belo-horizonte-mg-921-1175971178,2023-08-05,Belo Horizonte,30530290,João Pinheiro,R$ 550,R$ 0,80m²,3,2,3,"Academia, Churrasqueira, Piscina, Varanda",819900,zona_noroeste
"Apartamento à Venda - Padre Eustáquio, 2 Quartos,  54 m2",https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/apartamento-a-venda-padre-eustaquio-2-quartos-54-m2-1175698602,2023-08-05,Belo Horizonte,30730140,Padre Eustáquio,R$ 600,R$ 19,54m²,2,2,2,"Academia, Piscina, Varanda",481000,zona_noroeste
"Apartamento à Venda - Padre Eustáquio, 2 Quartos,  54 m2",https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/apartamento-a-venda-padre-eustaquio-2-quartos-54-m2-1175698181,2023-08-05,Belo Horizonte,30730140,Padre Eustáquio,R$ 600,R$ 19,54m²,2,2,2,"Academia, Mobiliado, Piscina, Varanda",538000,zona_noroeste
