TITLE,LINK,DATE_SCRAPE,CITY,CEP,NEIGHBORHOOD,CONDO,TAX,AREA,ROOMS_NO,BATH_NO,PARKING_SPOTS,APARTMENT_DETAILS,PRICE,REGION
"Cobertura à venda, 3 quartos, 1 suíte, 2 vagas, Caiçara - Belo Horizonte/MG",https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/cobertura-a-venda-3-quartos-1-suite-2-vagas-caicara-belo-horizonte-mg-1175667874,2023-08-05,Belo Horizonte,30720590,Caiçara-Adelaide,R$ 1,R$ 1,141m²,3,3,2,"Academia, Ar condicionado, Área de serviço",990000,zona_noroeste
BELO HORIZONTE - Apartamento Padrão - Serrano,https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/belo-horizonte-apartamento-padrao-serrano-1175660518,2023-08-05,Belo Horizonte,30882400,Serrano,R$ 200,R$ 138,68m²,2,2,2,N/A,360000,zona_noroeste
"Apartamento à venda, 3 quartos, 1 suíte, 2 vagas, Caiçara - Belo Horizonte/MG",https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/apartamento-a-venda-3-quartos-1-suite-2-vagas-caicara-belo-horizonte-mg-1175656215,2023-08-05,Belo Horizonte,30720590,Caiçara-Adelaide,R$ 1,R$ 1,70m²,3,2,2,"Academia, Ar condicionado, Área de serviço, Varanda",609920,zona_noroeste
"Área privativa à venda, 3 quartos, 1 suíte, 2 vagas, Caiçara - Belo Horizonte/MG",https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/area-privativa-a-venda-3-quartos-1-suite-2-vagas-caicara-belo-horizonte-mg-1175656197,2023-08-05,Belo Horizonte,30720590,Caiçara-Adelaide,R$ 1,R$ 1,101m²,3,2,2,"Academia, Ar condicionado, Área de serviço, Varanda",717936,zona_noroeste
Venda Apartamento 3 quartos Nova Cachoeirinha Belo Horizonte,https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/venda-apartamento-3-quartos-nova-cachoeirinha-belo-horizonte-1175653522,2023-08-05,Belo Horizonte,31250620,Nova Cachoeirinha,R$ 200,R$ 34,63m²,3,1,1,N/A,270000,zona_noroeste
Venda Apartamento 3 quartos Padre Eustáquio Belo Horizonte,https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/venda-apartamento-3-quartos-padre-eustaquio-belo-horizonte-1175653424,2023-08-05,Belo Horizonte,30720420,Padre Eustáquio,R$ 280,R$ 119,60m²,3,1,1,Varanda,330000,zona_noroeste
"Apartamento à Venda - Glória, 2 Quartos,  113 m2",https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/apartamento-a-venda-gloria-2-quartos-113-m2-1175627731,2023-08-05,Belo Horizonte,30870190,Glória,R$ 0,R$ 0,113m²,2,1,1,N/A,339000,zona_noroeste
BELO HORIZONTE - Apartamento Padrão - Alto Caiçaras,https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/belo-horizonte-apartamento-padrao-alto-caicaras-1175612069,2023-08-05,Belo Horizonte,30750350,Alto Caiçaras,R$ 180,R$ 120,52m²,3,1,4,Área de serviço,320000,zona_noroeste
"Apartamento à Venda - Caiçara-Adelaide, 3 Quartos,  140 m2",https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/apartamento-a-venda-caicara-adelaide-3-quartos-140-m2-1175586807,2023-08-05,Belo Horizonte,30750170,Caiçara-Adelaide,R$ 400,R$ 238,140m²,3,3,2,Ar condicionado,580000,zona_noroeste
Belo Horizonte - Apartamento Padrão - Coqueiros,https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/belo-horizonte-apartamento-padrao-coqueiros-1175585156,2023-08-05,Belo Horizonte,30880460,Coqueiros,R$ 200,R$ 0,120m²,2,2,1,N/A,375000,zona_noroeste
Apartamento à venda no bairro Caiçaras,https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/apartamento-a-venda-no-bairro-caicaras-1175554833,2023-08-05,Belo Horizonte,30775520,Caiçaras,R$ 847,R$ 267,72m²,2,2,2,"Academia, Ar condicionado, Área de serviço, Churrasqueira, Piscina, Varanda",779000,zona_noroeste
"Apartamento com 3 dormitórios à venda, 68 m² por R$ 639.920,00 - Caiçaras - Belo Horizonte",https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/apartamento-com-3-dormitorios-a-venda-68-m-por-r-639-920-00-caicaras-belo-horizonte-1175530678,2023-08-05,Belo Horizonte,30720590,Caiçara-Adelaide,R$ 0,R$ 0,69m²,3,2,2,N/A,639920,zona_noroeste
COBERTURA ÓTIMA NO BAIRRO CAIÇARAS!,https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/cobertura-otima-no-bairro-caicaras-1175524070,2023-08-05,Belo Horizonte,30750400,Caiçara-Adelaide,R$ 450,R$ 150,88m²,4,4,4,"Área de serviço, Armários na cozinha, Armários no quarto",820000,zona_noroeste
BELO HORIZONTE - Apartamento Padrão - Serrano,https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/belo-horizonte-apartamento-padrao-serrano-1175496366,2023-08-05,Belo Horizonte,30882630,Serrano,R$ 200,R$ 100,90m²,3,2,2,N/A,380000,zona_noroeste
BELO HORIZONTE - Apartamento Padrão - Padre Eustáquio,https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/belo-horizonte-apartamento-padrao-padre-eustaquio-1175496284,2023-08-05,Belo Horizonte,30730110,Padre Eustáquio,R$ 1,R$ 1,161m²,3,3,3,"Academia, Varanda",1250000,zona_noroeste
BELO HORIZONTE - Apartamento Padrão - Coqueiros,https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/belo-horizonte-apartamento-padrao-coqueiros-1175496030,2023-08-05,Belo Horizonte,30881220,Coqueiros,R$ 200,R$ 90,58m²,2,2,1,Área de serviço,279000,zona_noroeste
BELO HORIZONTE - Apartamento Padrão - Coqueiros,https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/belo-horizonte-apartamento-padrao-coqueiros-1175496032,2023-08-05,Belo Horizonte,30881220,Coqueiros,R$ 200,R$ 100,120m²,2,2,2,"Churrasqueira, Varanda",448000,zona_noroeste
BELO HORIZONTE - Apartamento Padrão - Padre Eustáquio,https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/belo-horizonte-apartamento-padrao-padre-eustaquio-1175496018,2023-08-05,Belo Horizonte,30730160,Padre Eustáquio,R$ 300,R$ 153,89m²,4,3,2,Área de serviço,385000,zona_noroeste
BELO HORIZONTE - Apartamento Padrão - Serrano,https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/belo-horizonte-apartamento-padrao-serrano-1175495921,2023-08-05,Belo Horizonte,30882670,Serrano,R$ 174,R$ 105,144m²,4,3,2,Área de serviço,759000,zona_noroeste
BELO HORIZONTE - Apartamento Padrão - Glória,https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/belo-horizonte-apartamento-padrao-gloria-1175495924,2023-08-05,Belo Horizonte,30830440,Glória,R$ 167,R$ 150,53m²,2,1,2,Área de serviço,198000,zona_noroeste
BELO HORIZONTE - Apartamento Padrão - Padre Eustáquio,https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/belo-horizonte-apartamento-padrao-padre-eustaquio-1175495894,2023-08-05,Belo Horizonte,30720400,Padre Eustáquio,R$ 250,R$ 1,87m²,3,2,2,Área de serviço,365000,zona_noroeste
BELO HORIZONTE - Apartamento Padrão - Padre Eustáquio,https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/belo-horizonte-apartamento-padrao-padre-eustaquio-1175495142,2023-08-05,Belo Horizonte,30730110,Padre Eustáquio,R$ 1,R$ 1,81m²,3,2,2,"Academia, Varanda",575000,zona_noroeste
BELO HORIZONTE - Apartamento Padrão - Colégio Batista,https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/belo-horizonte-apartamento-padrao-colegio-batista-1174810522,2023-08-05,Belo Horizonte,31110340,Lagoinha,R$ 180,R$ 90,47m²,2,1,1,N/A,285000,zona_noroeste
BELO HORIZONTE - Apartamento Padrão - Colégio Batista,https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/belo-horizonte-apartamento-padrao-colegio-batista-1174810439,2023-08-05,Belo Horizonte,31110340,Lagoinha,R$ 180,R$ 90,47m²,2,1,2,N/A,307000,zona_noroeste
BELO HORIZONTE - Apartamento Padrão - Colégio Batista,https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/belo-horizonte-apartamento-padrao-colegio-batista-1174810317,2023-08-05,Belo Horizonte,31110340,Lagoinha,R$ 180,R$ 90,47m²,2,1,2,N/A,304000,zona_noroeste
Venda Apartamento 3 quartos Padre Eustáquio Belo Horizonte,https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/venda-apartamento-3-quartos-padre-eustaquio-belo-horizonte-1174794703,2023-08-05,Belo Horizonte,30720410,Padre Eustáquio,R$ 400,R$ 125,64m²,3,2,2,Varanda,448000,zona_noroeste
Venda Residential / Apartment Belo Horizonte MG,https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/venda-residential-apartment-belo-horizonte-mg-1174782917,2023-08-05,Belo Horizonte,30770400,Caiçara-Adelaide,R$ 400,R$ 400,140m²,3,3,3,"Ar condicionado, Churrasqueira, Mobiliado",1500000,zona_noroeste
Apartamento 04 quartos à venda bairro Caiçara!,https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/apartamento-04-quartos-a-venda-bairro-caicara-1174751798,2023-08-05,Belo Horizonte,30770400,Caiçara-Adelaide,R$ 480,R$ 374,128m²,4,3,3,Área de serviço,950000,zona_noroeste
"Cobertura com 4 quartos à venda, 164 m² por R$ 850.000 - Manacás - Belo Horizonte/MG",https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/cobertura-com-4-quartos-a-venda-164-m-por-r-850-000-manacas-belo-horizonte-mg-1174737491,2023-08-05,Belo Horizonte,30840590,Manacás,R$ 570,R$ 214,164m²,4,3,2,"Área de serviço, Churrasqueira, Varanda",850000,zona_noroeste
BELO HORIZONTE - Apartamento Padrão - Conjunto Califórnia,https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/belo-horizonte-apartamento-padrao-conjunto-california-1174729344,2023-08-05,Belo Horizonte,30850760,Conjunto Califórnia,R$ 350,R$ 1,63m²,3,2,2,"Academia, Área de serviço",345500,zona_noroeste
Venda Residential / Apartment Belo Horizonte MG,https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/venda-residential-apartment-belo-horizonte-mg-1174713822,2023-08-05,Belo Horizonte,30882770,Serrano,R$ 0,R$ 0,115m²,3,2,2,N/A,650000,zona_noroeste
"Apartamento à Venda - Padre Eustáquio, 4 Quartos,  132 m2",https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/apartamento-a-venda-padre-eustaquio-4-quartos-132-m2-1174707853,2023-08-05,Belo Horizonte,30730402,Minas Brasil,R$ 395,R$ 146,132m²,4,2,1,"Churrasqueira, Varanda",450000,zona_noroeste
"Apartamento à Venda - Coração Eucarístico, 5 Quartos,  298 m2",https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/apartamento-a-venda-coracao-eucaristico-5-quartos-298-m2-1174707757,2023-08-05,Belo Horizonte,30535630,Coração Eucarístico,R$ 810,R$ 54,298m²,5 ou mais,5 ou mais,5 ou mais,"Academia, Churrasqueira, Piscina, Varanda",1980000,zona_noroeste
Cobertura bairro Santa Terezinha com 144m²,https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/cobertura-bairro-santa-terezinha-com-144m-1174701514,2023-08-05,Belo Horizonte,30882670,Serrano,R$ 0,R$ 0,144m²,4,4,2,N/A,749900,zona_noroeste
Apart. Santa Terezinha com 03 Quartos,https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/apart-santa-terezinha-com-03-quartos-1174701497,2023-08-05,Belo Horizonte,30882670,Serrano,R$ 0,R$ 0,72m²,3,2,2,N/A,479900,zona_noroeste
LINDO APARTAMENTO COM ÁREA PRIVATIVA DE 03 QUARTOS COM 01 SUÍTE E 02 VAGAS,https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/lindo-apartamento-com-area-privativa-de-03-quartos-com-01-suite-e-02-vagas-1174700280,2023-08-05,Belo Horizonte,30882770,Serrano,R$ 1,R$ 1,115m²,3,2,2,Varanda,650000,zona_noroeste
Apartamento de 02 quartos bairro Caiçara,https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/apartamento-de-02-quartos-bairro-caicara-1174652175,2023-08-05,Belo Horizonte,30750350,Alto Caiçaras,R$ 6,R$ 6,50m²,2,1,1,Área de serviço,262000,zona_noroeste
Apartamento para venda com 115 metros quadrados com 3 quartos em Serrano - Belo Horizonte ,https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/apartamento-para-venda-com-115-metros-quadrados-com-3-quartos-em-serrano-belo-horizonte-1174607739,2023-08-05,Belo Horizonte,30882770,Serrano,R$ 0,R$ 0,115m²,3,2,2,"Armários na cozinha, Armários no quarto, Churrasqueira",650000,zona_noroeste
Venda Apartamento 4 quartos Caiçaras Belo Horizonte,https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/venda-apartamento-4-quartos-caicaras-belo-horizonte-1174362882,2023-08-05,Belo Horizonte,30770400,Caiçara-Adelaide,R$ 728,R$ 371,127m²,4,3,3,Churrasqueira,950000,zona_noroeste
