titulo,link,date,REGION
Apartamento 03 quartos ,https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/apartamento-03-quartos-1215942724,2023-08-04 11:32:26.433154,barreiro
"Apartamento à venda - Barreiro, 2 quartos - Belo Horizonte",https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/apto-1199275155,2023-08-04 11:32:26.433154,barreiro
"Apartamento 02 quartos, 01 vaga à venda no Bairro Araguaia/BH",https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/apartamento-a-venda-barreiro-2-quartos-belo-horizonte-1218342878,2023-08-04 11:32:26.433154,barreiro
Apartamento 03 quartos suite 02 vagas a venda no Bairro Tirol.,https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/apartamento-a-venda-palmares-3-quartos-85-m2-1218332140,2023-08-04 11:32:26.433154,barreiro
Cobertura para Venda no Bairro Nova Cachoeirinha,https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/apartamento-02-quartos-01-vaga-a-venda-no-bairro-araguaia-bh-1218321527,2023-08-04 11:32:26.433154,barreiro
BELO HORIZONTE - Apartamento Padrão - Pongelupe,https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/apartamento-02-quartos-a-venda-no-bairro-solar-do-barreiro-bh-1218320003,2023-08-04 11:32:26.433154,barreiro
Apartamento de 2 quartos à venda Bonsucesso- BH-MG,https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/apartamento-03-quartos-suite-02-vagas-a-venda-no-bairro-tirol-1218319935,2023-08-04 11:32:26.433154,barreiro
Apartamento com 2 dormitórios à venda em Belo Horizonte,https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/apartamento-semi-novo-perto-do-minas-casa-1218316432,2023-08-04 11:32:26.433154,barreiro
APARTAMENTO 03 QTOS 01 SUÍTE 01 VG NO BAIRRO SANTA HELENA (BARREIRO) EM BELO HORIZONTE,https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/cobertura-para-venda-no-bairro-nova-cachoeirinha-1218315987,2023-08-04 11:32:26.433154,barreiro
Apartamento 3 Qts no Cardoso-Barreiro,https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/belo-horizonte-apartamento-padrao-teixeira-dias-1218303580,2023-08-04 11:32:26.433154,barreiro
APARTAMENTO 03 QTOS 01 SUÍTE 01 VG NO BAIRRO SANTA HELENA (BARREIRO) EM BELO HORIZONTE,https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/belo-horizonte-apartamento-padrao-pongelupe-1218303585,2023-08-04 11:32:26.433154,barreiro
"Apartamento à venda - Diamante, 3 quartos - Belo Horizonte",https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/belo-horizonte-apartamento-padrao-teixeira-dias-1218303405,2023-08-04 11:32:26.433154,barreiro
"Apartamento à Venda - Diamante, 2 Quartos,  45 m2",https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/apartamento-de-2-quartos-a-venda-bonsucesso-bh-mg-1218259597,2023-08-04 11:32:26.433154,barreiro
"Apartamento à venda, Bonsucesso, BELO HORIZONTE - MG",https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/apartamento-com-2-dormitorios-a-venda-em-belo-horizonte-1218178403,2023-08-04 11:32:26.433154,barreiro
Apartamento com 2 dormitórios à venda em Belo Horizonte,https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/apartamento-com-2-dormitorios-a-venda-em-belo-horizonte-1218178374,2023-08-04 11:32:26.433154,barreiro
Apartamento em  Rua José Cleto - Santa Cruz - Belo Horizonte/MG,https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/apartamento-com-2-dormitorios-a-venda-em-belo-horizonte-1218178322,2023-08-04 11:32:26.433154,barreiro
apartamento de 2 quartos com área privativa no barreiro de cima ,https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/apartamento-03-qtos-01-suite-01-vg-no-bairro-santa-helena-barreiro-em-belo-horizonte-1218141334,2023-08-04 11:32:26.433154,barreiro
"Lindo Apto 02 Dts, 01 vaga, Vale do Jatobá !!",https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/apartamento-03-qtos-01-suite-01-vg-no-bairro-santa-helena-barreiro-em-belo-horizonte-1218116944,2023-08-04 11:32:26.433154,barreiro
Apartamento à venda no bairro Cardoso (Barreiro) - Belo Horizonte/MG,https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/apartamento-3-qts-no-cardoso-barreiro-1218104883,2023-08-04 11:32:26.433154,barreiro
Apartamento com 2 dormitórios à venda em Belo Horizonte,https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/apartamento-03-qtos-01-suite-01-vg-no-bairro-santa-helena-barreiro-em-belo-horizonte-1218099815,2023-08-04 11:32:26.433154,barreiro
Apartamento com 2 dormitórios à venda em Belo Horizonte,https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/apartamento-03-qtos-01-suite-01-vg-no-bairro-santa-helena-barreiro-em-belo-horizonte-1218089826,2023-08-04 11:32:26.433154,barreiro
LATOUR RESIDENCE - O melhor empreendimento da região- Via do Minério - Diamante,https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/area-privativa-03-qtos-01-suite-02-vgs-no-bairro-santa-helena-barreiro-em-belo-horizonte-1218082447,2023-08-04 11:32:26.433154,barreiro
Belo Horizonte - Apartamento Padrão - Flavio Marques Lisboa (Barreiro),https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/apartamento-a-venda-diamante-3-quartos-belo-horizonte-1217907480,2023-08-04 11:32:26.433154,barreiro
"Apartamento à Venda - Solar do Barreiro, 2 Quartos,  43 m2",https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/apartamento-a-venda-no-barreiro-vale-do-jatoba-armarios-vaga-demarcada-apenas-2-torre-1217906996,2023-08-04 11:32:26.433154,barreiro
"Apartamento à Venda - Solar do Barreiro, 2 Quartos,  43 m2",https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/apartamento-a-venda-diamante-2-quartos-45-m2-1217882128,2023-08-04 11:32:26.433154,barreiro
Apartamento em  Rua Amílcar Cabral - Milionários (Barreiro) - Belo Horizonte/MG,https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/apartamento-em-rua-amilcar-cabral-milionarios-barreiro-belo-horizonte-mg-1217264362,2023-08-04 11:32:33.498612,barreiro
Apartamento muito bom ,https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/cobertura-no-melhor-do-barreiro-1217231611,2023-08-04 11:32:33.498612,barreiro
"Apartamento à Venda - Solar do Barreiro, 2 Quartos,  43 m2",https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/apartamento-muito-bom-1217224314,2023-08-04 11:32:33.498612,barreiro
"Apartamento à Venda - Solar do Barreiro, 2 Quartos,  43 m2",https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/apartamento-a-venda-solar-do-barreiro-2-quartos-43-m2-1217181101,2023-08-04 11:32:33.498612,barreiro
"Cobertura à venda - Barreiro, 3 quartos - Belo Horizonte",https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/apartamento-a-venda-solar-do-barreiro-2-quartos-43-m2-1217150570,2023-08-04 11:32:33.498612,barreiro
"Excelente Apartamento de dois quartos, com área privativa no Cardoso.",https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/apartamento-a-venda-solar-do-barreiro-2-quartos-43-m2-1217141595,2023-08-04 11:32:33.498612,barreiro
"Apartamento à venda, 3 quartos, 1 suíte, 1 vaga, Tirol - Belo Horizonte/MG",https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/apartamento-a-venda-solar-do-barreiro-2-quartos-43-m2-1217138579,2023-08-04 11:32:33.498612,barreiro
"Apartamento de TRÊS quartos todo reformado no Flávio de Oliveira, Barreiro.",https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/belo-horizonte-apartamento-padrao-santa-cruz-1217109912,2023-08-04 11:32:33.498612,barreiro
