,CONDO,TAX,AREA,ROOMS_NO,BATH_NO,PARKING_SPOTS,DETAIL_Academia,DETAIL_Ar condicionado,DETAIL_Armários na cozinha,DETAIL_Armários no quarto,DETAIL_Churrasqueira,DETAIL_Mobiliado,DETAIL_Piscina,DETAIL_Quarto de serviço,DETAIL_Varanda,DETAIL_Área de serviço,PRICE,REGION_pampulha,REGION_venda_nova,REGION_zona_centro_sul,REGION_zona_leste,REGION_zona_nordeste,REGION_zona_noroeste,REGION_zona_norte,REGION_zona_oeste
53,340,2,130,3,3,2,0,0,0,0,0,0,0,0,0,0,669450.0,False,False,False,False,False,False,False,False
54,1,1,140,3,2,2,0,0,0,0,1,0,0,0,0,0,479230.0,False,False,False,False,False,False,False,False
55,260,400,78,3,1,1,0,0,1,0,1,0,0,0,0,0,235000.0,False,False,False,False,False,False,False,False
56,250,800,48,2,1,1,0,0,0,0,0,0,0,0,0,0,224220.0,False,False,False,False,False,False,False,False
57,150,1,123,3,2,2,0,0,0,0,0,0,0,0,0,0,539200.0,False,False,False,False,False,False,False,False
58,250,1,98,3,1,2,0,0,0,0,0,0,0,0,0,0,449720.0,False,False,False,False,False,False,False,False
59,200,900,83,2,1,1,0,0,0,0,0,0,0,0,0,0,334580.0,False,False,False,False,False,False,False,False
60,350,1,150,3,1,2,0,1,0,0,0,0,0,0,0,0,527710.0,False,False,False,False,False,False,False,False
61,1,1,84,3,2,1,0,0,0,0,0,0,0,0,0,0,449300.0,False,False,False,False,False,False,False,False
62,0,0,54,2,1,1,1,0,0,0,1,1,1,0,0,0,280358.0,False,False,False,False,False,False,False,False
63,50,1,67,3,1,1,0,0,0,0,1,0,0,0,0,0,238430.0,False,False,False,False,False,False,False,False
64,1,1,50,2,1,1,0,0,0,0,0,0,0,0,0,0,151780.0,False,False,False,False,False,False,False,False
65,260,60,87,3,2,2,0,0,0,0,0,0,0,0,0,0,364890.0,False,False,False,False,False,False,False,False
66,250,456,50,2,1,1,0,0,0,0,0,0,0,0,0,0,224800.0,False,False,False,False,False,False,False,False
67,400,2,132,3,3,2,0,0,0,0,0,0,0,0,0,0,618350.0,False,False,False,False,False,False,False,False
68,1,1,58,2,2,1,0,0,0,0,0,0,0,0,0,0,379720.0,False,False,False,False,False,False,False,False
69,200,1,79,2,1,1,0,0,0,0,0,0,0,0,0,0,349260.0,False,False,False,False,False,False,False,False
70,1,1,48,2,2,1,0,0,0,0,0,0,0,0,0,0,350300.0,False,False,False,False,False,False,False,False
71,1,1,55,2,1,0,0,0,0,0,0,0,0,0,0,0,358310.0,False,False,False,False,False,False,False,False
72,1,1,218,3,3,3,0,0,0,0,1,0,0,0,0,0,659700.0,False,False,False,False,False,False,False,False
73,200,1,144,3,4,1,0,0,0,0,0,0,0,0,0,0,699290.0,False,False,False,False,False,False,False,False
74,340,1,60,2,1,0,0,0,0,0,0,0,0,0,0,0,154300.0,False,False,False,False,False,False,False,False
75,0,246,300,4,5,1,0,0,0,0,1,0,0,0,1,0,1387000.0,False,False,False,False,False,False,False,False
76,250,154,145,3,2,1,0,0,0,0,0,0,0,0,1,0,550000.0,False,False,False,False,False,False,False,False
77,350,7,52,2,1,1,0,0,0,0,0,0,0,0,0,0,275000.0,False,False,False,False,False,False,False,False
78,248,35,59,2,1,1,0,0,0,0,0,0,0,0,0,0,174000.0,False,False,False,False,False,False,False,False
79,0,0,113,3,3,2,0,0,0,0,0,0,0,0,1,1,1000000.0,False,False,False,False,False,False,False,False
80,0,0,49,2,1,1,0,0,0,0,1,0,0,0,0,0,238856.0,False,False,False,False,False,False,False,False
81,0,0,49,2,1,1,0,0,0,0,1,0,0,0,0,0,238856.0,False,False,False,False,False,False,False,False
82,100,100,47,2,1,1,0,0,0,0,0,0,0,0,0,0,150000.0,False,False,False,False,False,False,False,False
83,0,0,208,3,3,3,0,0,0,0,0,0,0,0,0,0,1600000.0,False,False,False,False,False,False,False,False
84,0,0,59,2,1,1,0,0,0,0,1,0,0,0,0,0,241370.0,False,False,False,False,False,False,False,False
85,0,0,49,2,1,1,0,0,0,0,1,0,0,0,0,0,238856.0,False,False,False,False,False,False,False,False
86,0,0,133,3,1,2,0,0,0,0,0,0,0,0,1,1,1000000.0,False,False,False,False,False,False,False,False
87,300,950,57,2,1,1,0,0,0,0,1,0,0,0,1,0,269000.0,False,False,False,False,False,False,False,False
88,0,0,54,2,1,1,0,0,0,0,1,1,1,0,0,0,280358.0,False,False,False,False,False,False,False,False
89,350,0,48,2,1,1,0,0,0,0,1,0,1,0,1,0,271795.0,False,False,False,False,False,False,False,False
90,350,0,51,2,1,2,0,0,0,0,1,0,1,0,0,0,285168.0,False,False,False,False,False,False,False,False
91,0,0,90,2,2,1,0,0,0,0,0,0,0,0,0,0,400000.0,False,False,False,False,False,False,False,False
92,360,1,85,3,2,2,0,0,0,0,0,1,0,0,0,1,409900.0,False,False,False,False,False,False,False,False
93,200,1,70,3,2,1,0,0,0,0,0,0,0,0,0,1,300000.0,False,False,False,False,False,False,False,False
94,0,0,54,2,1,1,0,0,0,0,1,0,1,0,0,0,436000.0,False,False,False,False,False,False,False,False
95,0,0,73,3,1,2,0,0,0,0,0,0,0,0,0,0,790000.0,False,False,False,False,False,False,False,False
96,84,0,50,2,1,1,0,0,0,0,0,0,0,0,0,0,129000.0,False,False,False,False,False,False,False,False
97,0,0,44,2,1,1,0,0,0,0,0,0,0,0,0,0,260000.0,False,False,False,False,False,False,False,False
98,150,188,170,3,3,2,0,0,0,0,1,0,0,0,1,0,799000.0,False,False,False,False,False,False,False,False
99,140,33,51,2,1,1,0,0,0,0,0,0,0,0,0,0,165000.0,False,False,False,False,False,False,False,False
100,290,0,66,3,1,1,0,0,0,0,0,0,0,0,0,0,240000.0,False,False,False,False,False,False,False,False
101,0,0,60,2,1,1,0,0,0,0,0,0,0,0,0,0,245000.0,False,False,False,False,False,False,False,False
102,339,267,50,2,1,1,0,0,0,0,0,0,0,0,0,0,230000.0,False,False,False,False,False,False,False,False
