,AREA,ROOMS_NO,BATH_NO,PARKING_SPOTS,DETAIL_Academia,DETAIL_Ar condicionado,DETAIL_Armários na cozinha,DETAIL_Armários no quarto,DETAIL_Churrasqueira,DETAIL_Mobiliado,DETAIL_Piscina,DETAIL_Varanda,DETAIL_Área de serviço,REGION_pampulha,REGION_venda_nova,REGION_zona_centro_sul,REGION_zona_leste,REGION_zona_nordeste,REGION_zona_noroeste,REGION_zona_norte,REGION_zona_oeste,UTILS,PRICE
57,123,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151,539200.0
58,98,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,251,449720.0
59,83,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1100,334580.0
60,150,3,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,351,527710.0
61,84,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,449300.0
62,54,2,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,280358.0
63,67,3,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,51,238430.0
64,50,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,151780.0
65,87,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,320,364890.0
66,50,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,706,224800.0
67,132,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,402,618350.0
68,58,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,379720.0
69,79,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201,349260.0
70,48,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,350300.0
71,55,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,358310.0
72,218,3,3,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,659700.0
73,144,3,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201,699290.0
74,60,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,341,154300.0
75,300,4,5,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,246,1387000.0
76,145,3,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,404,550000.0
77,52,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,357,275000.0
78,59,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,283,174000.0
79,113,3,3,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1000000.0
80,49,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,238856.0
81,49,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,238856.0
82,47,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,150000.0
83,208,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1600000.0
84,59,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,241370.0
85,49,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,238856.0
86,133,3,1,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1000000.0
87,57,2,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1250,269000.0
88,54,2,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,280358.0
89,48,2,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,350,271795.0
90,51,2,1,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,350,285168.0
91,90,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400000.0
92,85,3,2,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,361,409900.0
93,70,3,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,201,300000.0
94,54,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,436000.0
95,73,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,790000.0
96,50,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,129000.0
97,44,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,260000.0
98,170,3,3,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,338,799000.0
99,51,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173,165000.0
100,66,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,290,240000.0
101,60,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,245000.0
102,50,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,606,230000.0
